geo_fips,geo_name,geo_level,state_fips,state_abbr,state_name
3459640,Pleasantville,city,34,NJ,New Jersey
3460900,Princeton,city,34,NJ,New Jersey
3463000,Ridgewood,city,34,NJ,New Jersey
3464620,Roselle,city,34,NJ,New Jersey
3464650,Roselle Park,city,34,NJ,New Jersey
3465490,Salem,city,34,NJ,New Jersey
3468730,South Bound Brook,city,34,NJ,New Jersey
3471430,Summit,city,34,NJ,New Jersey
3474000,Trenton,city,34,NJ,New Jersey
3474630,Union City,city,34,NJ,New Jersey
3476070,Vineland,city,34,NJ,New Jersey
3479040,Westfield,city,34,NJ,New Jersey
3479610,West New York,city,34,NJ,New Jersey
3481200,Wildwood Crest,city,34,NJ,New Jersey
3502000,Albuquerque,city,35,NM,New Mexico
3539380,Las Cruces,city,35,NM,New Mexico
3563460,Rio Rancho,city,35,NM,New Mexico
3570500,Santa Fe,city,35,NM,New Mexico
3601000,Albany,city,36,NY,New York
3611000,Buffalo,city,36,NY,New York
3633139,Hempstead Village,city,36,NY,New York
3635969,Hudson,city,36,NY,New York
3649121,Mount Vernon,city,36,NY,New York
3650617,New Rochelle,city,36,NY,New York
3651000,New York,city,36,NY,New York
3663000,Rochester,city,36,NY,New York
3665508,Schenectady,city,36,NY,New York
3673000,Syracuse,city,36,NY,New York
3675484,Troy,city,36,NY,New York
3676540,Utica,city,36,NY,New York
3681677,White Plains,city,36,NY,New York
3684000,Yonkers,city,36,NY,New York
3701520,Apex,city,37,NC,North Carolina
3702140,Asheville,city,37,NC,North Carolina
3709060,Burlington,city,37,NC,North Carolina
3710740,Cary,city,37,NC,North Carolina
3711800,Chapel Hill,city,37,NC,North Carolina
3712000,Charlotte,city,37,NC,North Carolina
3714100,Concord,city,37,NC,North Carolina
3719000,Durham,city,37,NC,North Carolina
3722920,Fayetteville,city,37,NC,North Carolina
3725580,Gastonia,city,37,NC,North Carolina
3728000,Greensboro,city,37,NC,North Carolina
3728080,Greenville,city,37,NC,North Carolina
3731400,High Point,city,37,NC,North Carolina
3733120,Huntersville,city,37,NC,North Carolina
3734200,Jacksonville,city,37,NC,North Carolina
3735200,Kannapolis,city,37,NC,North Carolina
3744220,Mooresville,city,37,NC,North Carolina
3755000,Raleigh,city,37,NC,North Carolina
3757500,Rocky Mount,city,37,NC,North Carolina
3774440,Wilmington,city,37,NC,North Carolina
3775000,Winston-Salem,city,37,NC,North Carolina
3807200,Bismarck,city,38,ND,North Dakota
3825700,Fargo,city,38,ND,North Dakota
3832060,Grand Forks,city,38,ND,North Dakota
3901000,Akron,city,39,OH,Ohio
3902736,Athens,city,39,OH,Ohio
3905424,Belpre,city,39,OH,Ohio
3912000,Canton,city,39,OH,Ohio
3914184,Chillicothe,city,39,OH,Ohio
3915000,Cincinnati,city,39,OH,Ohio
3916000,Cleveland,city,39,OH,Ohio
3918000,Columbus,city,39,OH,Ohio
