"geo_fips" "geo_name" "geo_level" "state_fips" "state_abbr" "state_name"
"282" "1230000" "Hialeah" "city" "12" "FL" "Florida"
"283" "1232000" "Hollywood" "city" "12" "FL" "Florida"
"284" "1232275" "Homestead" "city" "12" "FL" "Florida"
"285" "1235000" "Jacksonville" "city" "12" "FL" "Florida"
"286" "1235875" "Jupiter" "city" "12" "FL" "Florida"
"287" "1236950" "Kissimmee" "city" "12" "FL" "Florida"
"288" "1238250" "Lakeland" "city" "12" "FL" "Florida"
"289" "1239425" "Largo" "city" "12" "FL" "Florida"
"290" "1239550" "Lauderhill" "city" "12" "FL" "Florida"
"291" "1243125" "Margate" "city" "12" "FL" "Florida"
"292" "1243975" "Melbourne" "city" "12" "FL" "Florida"
"293" "1245000" "Miami" "city" "12" "FL" "Florida"
"294" "1245025" "Miami Beach" "city" "12" "FL" "Florida"
"295" "1245060" "Miami Gardens" "city" "12" "FL" "Florida"
"296" "1245975" "Miramar" "city" "12" "FL" "Florida"
"297" "1249450" "North Miami" "city" "12" "FL" "Florida"
"298" "1249675" "North Port" "city" "12" "FL" "Florida"
"299" "1250750" "Ocala" "city" "12" "FL" "Florida"
"300" "1253000" "Orlando" "city" "12" "FL" "Florida"
"301" "1254000" "Palm Bay" "city" "12" "FL" "Florida"
"302" "1254075" "Palm Beach Gardens" "city" "12" "FL" "Florida"
"303" "1254200" "Palm Coast" "city" "12" "FL" "Florida"
"304" "1255775" "Pembroke Pines" "city" "12" "FL" "Florida"
"305" "1255925" "Pensacola" "city" "12" "FL" "Florida"
"306" "1256975" "Pinellas Park" "city" "12" "FL" "Florida"
"307" "1257425" "Plantation" "city" "12" "FL" "Florida"
"308" "1258050" "Pompano Beach" "city" "12" "FL" "Florida"
"309" "1258575" "Port Orange" "city" "12" "FL" "Florida"
"310" "1258715" "Port St. Lucie" "city" "12" "FL" "Florida"
"311" "1262625" "St. Cloud" "city" "12" "FL" "Florida"
"312" "1263000" "St. Petersburg" "city" "12" "FL" "Florida"
"313" "1263650" "Sanford" "city" "12" "FL" "Florida"
"314" "1264175" "Sarasota" "city" "12" "FL" "Florida"
"315" "1269700" "Sunrise" "city" "12" "FL" "Florida"
"316" "1270600" "Tallahassee" "city" "12" "FL" "Florida"
"317" "1270675" "Tamarac" "city" "12" "FL" "Florida"
"318" "1271000" "Tampa" "city" "12" "FL" "Florida"
"319" "1275812" "Wellington" "city" "12" "FL" "Florida"
"320" "1276582" "Weston" "city" "12" "FL" "Florida"
"321" "1276600" "West Palm Beach" "city" "12" "FL" "Florida"
"322" "1301052" "Albany" "city" "13" "GA" "Georgia"
"323" "1301696" "Alpharetta" "city" "13" "GA" "Georgia"
"324" "1303440" "Athens" "city" "13" "GA" "Georgia"
"325" "1304000" "Atlanta" "city" "13" "GA" "Georgia"
"326" "1304204" "Augusta" "city" "13" "GA" "Georgia"
"327" "1310944" "Brookhaven" "city" "13" "GA" "Georgia"
"328" "1319000" "Columbus" "city" "13" "GA" "Georgia"
"329" "1322052" "Decatur" "city" "13" "GA" "Georgia"
"330" "1324768" "Dunwoody" "city" "13" "GA" "Georgia"
"331" "1325720" "East Point" "city" "13" "GA" "Georgia"
"332" "1342425" "Johns Creek" "city" "13" "GA" "Georgia"
"333" "1349008" "Macon" "city" "13" "GA" "Georgia"
"334" "1349756" "Marietta" "city" "13" "GA" "Georgia"
"335" "1367284" "Roswell" "city" "13" "GA" "Georgia"
"336" "1368516" "Sandy Springs" "city" "13" "GA" "Georgia"
"337" "1369000" "Savannah" "city" "13" "GA" "Georgia"
"338" "1371492" "Smyrna" "city" "13" "GA" "Georgia"
"339" "1372122" "South Fulton" "city" "13" "GA" "Georgia"
"340" "1373784" "Stonecrest" "city" "13" "GA" "Georgia"
"341" "1378800" "Valdosta" "city" "13" "GA" "Georgia"
"342" "1380508" "Warner Robins" "city" "13" "GA" "Georgia"
"343" "0015003" "Honolulu" "city" "15" "HI" "Hawaii"
"344" "1608830" "Boise City" "city" "16" "ID" "Idaho"
"345" "1612250" "Caldwell" "city" "16" "ID" "Idaho"
"346" "1616750" "Coeur d'Alene" "city" "16" "ID" "Idaho"
"347" "1639700" "Idaho Falls" "city" "16" "ID" "Idaho"
"348" "1646540" "Lewiston" "city" "16" "ID" "Idaho"
"349" "1652120" "Meridian" "city" "16" "ID" "Idaho"
"350" "1656260" "Nampa" "city" "16" "ID" "Idaho"
"351" "1664090" "Pocatello" "city" "16" "ID" "Idaho"
"352" "1667420" "Rexburg" "city" "16" "ID" "Idaho"
"353" "1682810" "Twin Falls" "city" "16" "ID" "Idaho"
"354" "1702154" "Arlington Heights" "city" "17" "IL" "Illinois"
"355" "1703012" "Aurora" "city" "17" "IL" "Illinois"
"356" "1705573" "Berwyn" "city" "17" "IL" "Illinois"
"357" "1706613" "Bloomington" "city" "17" "IL" "Illinois"
"358" "1707133" "Bolingbrook" "city" "17" "IL" "Illinois"
"359" "1712385" "Champaign" "city" "17" "IL" "Illinois"
"360" "1714000" "Chicago" "city" "17" "IL" "Illinois"
"361" "1714351" "Cicero" "city" "17" "IL" "Illinois"
"362" "1718823" "Decatur" "city" "17" "IL" "Illinois"
"363" "1719642" "Des Plaines" "city" "17" "IL" "Illinois"
"364" "1720591" "Downers Grove" "city" "17" "IL" "Illinois"
"365" "1723074" "Elgin" "city" "17" "IL" "Illinois"
"366" "1724582" "Evanston" "city" "17" "IL" "Illinois"
"367" "1735411" "Hoffman Estates" "city" "17" "IL" "Illinois"
"368" "1738570" "Joliet" "city" "17" "IL" "Illinois"
"369" "1751089" "Mount Prospect" "city" "17" "IL" "Illinois"
